ID,Date,StoreID,MachineType,Amount,Revenue,Revenue ShopA,Revenue ShopB,Revenue ShopC,RO ShopA,RO ShopB,RO ShopC,Alkaline ShopA,Alkaline ShopB,Alkaline ShopC,Hydrogen ShopA,Hydrogen ShopB,Hydrogen ShopC,Ice ShopA,Ice ShopB,Ice ShopC,UV ShopA,UV ShopB,UV ShopC,Mineral ShopA,Mineral ShopB,Mineral ShopC
PAY-00019,2024-12-09,ShopB,Alkaline,14.73,,,,,,,,,,,,,,,,,,,,,,
PAY-00020,2024-12-09,ShopB,Alkaline,12.54,,,,,,,,,,,,,,,,,,,,,,
PAY-00021,2024-12-09,ShopB,RO,8.58,,,,,,,,,,,,,,,,,,,,,,
PAY-00022,2024-12-09,ShopB,RO,18.3,,,,,,,,,,,,,,,,,,,,,,
PAY-00023,2024-12-09,ShopB,Hydrogen,34.66,,,,,,,,,,,,,,,,,,,,,,
PAY-00024,2024-12-09,ShopB,Hydrogen,26.13,,,,,,,,,,,,,,,,,,,,,,
PAY-00025,2024-12-09,ShopB,UV,21.08,,,,,,,,,,,,,,,,,,,,,,
PAY-00026,2024-12-09,ShopB,UV,9.37,,,,,,,,,,,,,,,,,,,,,,
PAY-00027,2024-12-09,ShopB,UV,37.28,,,,,,,,,,,,,,,,,,,,,,
PAY-00028,2024-12-09,ShopB,UV,7.76,,,,,,,,,,,,,,,,,,,,,,
PAY-00029,2024-12-09,ShopB,UV,15.26,,,,,,,,,,,,,,,,,,,,,,
PAY-00030,2024-12-09,ShopB,Mineral,26.65,,,,,,,,,,,,,,,,,,,,,,
PAY-00031,2024-12-09,ShopB,Mineral,35.16,,,,,,,,,,,,,,,,,,,,,,
PAY-00032,2024-12-09,ShopB,Mineral,25.21,,,,,,,,,,,,,,,,,,,,,,
PAY-00033,2024-12-09,ShopB,Mineral,29.66,,,,,,,,,,,,,,,,,,,,,,
PAY-00034,2024-12-09,ShopB,Mineral,6.6,,,,,,,,,,,,,,,,,,,,,,
PAY-00035,2024-12-09,ShopC,Alkaline,32.06,,,,,,,,,,,,,,,,,,,,,,
PAY-00036,2024-12-09,ShopC,Hydrogen,35.33,,,,,,,,,,,,,,,,,,,,,,
PAY-00037,2024-12-09,ShopC,Ice,14.73,,,,,,,,,,,,,,,,,,,,,,
PAY-00038,2024-12-09,ShopC,Ice,27.25,,,,,,,,,,,,,,,,,,,,,,
PAY-00039,2024-12-09,ShopC,Ice,17.77,,,,,,,,,,,,,,,,,,,,,,
PAY-00040,2024-12-09,ShopC,UV,17.43,,,,,,,,,,,,,,,,,,,,,,
PAY-00041,2024-12-09,ShopC,UV,28.46,,,,,,,,,,,,,,,,,,,,,,
PAY-00042,2024-12-09,ShopC,Mineral,37.78,,,,,,,,,,,,,,,,,,,,,,
PAY-00043,2024-12-09,ShopC,Mineral,27.68,,,,,,,,,,,,,,,,,,,,,,
PAY-00044,2024-12-09,ShopC,Mineral,26.32,,,,,,,,,,,,,,,,,,,,,,
PAY-00045,2024-12-09,ShopC,Mineral,10.99,,,,,,,,,,,,,,,,,,,,,,
PAY-00046,2024-12-09,ShopC,Mineral,30.52,,,,,,,,,,,,,,,,,,,,,,
PAY-00047,2024-12-10,ShopA,Alkaline,21.18,,,,,,,,,,,,,,,,,,,,,,
PAY-00048,2024-12-10,ShopA,RO,39.63,,,,,,,,,,,,,,,,,,,,,,
PAY-00049,2024-12-10,ShopA,RO,27.4,,,,,,,,,,,,,,,,,,,,,,
PAY-00050,2024-12-10,ShopA,Hydrogen,12.69,,,,,,,,,,,,,,,,,,,,,,
PAY-00051,2024-12-10,ShopA,Hydrogen,16.35,,,,,,,,,,,,,,,,,,,,,,
PAY-00052,2024-12-10,ShopA,Hydrogen,31.89,,,,,,,,,,,,,,,,,,,,,,
PAY-00053,2024-12-10,ShopA,Hydrogen,6.96,,,,,,,,,,,,,,,,,,,,,,
PAY-00054,2024-12-10,ShopA,UV,19.04,,,,,,,,,,,,,,,,,,,,,,
PAY-00055,2024-12-10,ShopA,UV,7.32,,,,,,,,,,,,,,,,,,,,,,
PAY-00056,2024-12-10,ShopA,Mineral,35.67,,,,,,,,,,,,,,,,,,,,,,
PAY-00057,2024-12-10,ShopA,Mineral,16.01,,,,,,,,,,,,,,,,,,,,,,
PAY-00058,2024-12-10,ShopA,Mineral,27.94,,,,,,,,,,,,,,,,,,,,,,
PAY-00059,2024-12-10,ShopA,Mineral,18.85,,,,,,,,,,,,,,,,,,,,,,
PAY-00060,2024-12-10,ShopB,Alkaline,21.06,,,,,,,,,,,,,,,,,,,,,,
PAY-00061,2024-12-10,ShopB,Alkaline,14.27,,,,,,,,,,,,,,,,,,,,,,
PAY-00062,2024-12-10,ShopB,Alkaline,13.63,,,,,,,,,,,,,,,,,,,,,,
PAY-00063,2024-12-10,ShopB,Alkaline,24.65,,,,,,,,,,,,,,,,,,,,,,
PAY-00064,2024-12-10,ShopB,Alkaline,14.2,,,,,,,,,,,,,,,,,,,,,,
PAY-00065,2024-12-10,ShopB,RO,20.0,,,,,,,,,,,,,,,,,,,,,,
PAY-00066,2024-12-10,ShopB,RO,25.42,,,,,,,,,,,,,,,,,,,,,,
PAY-00067,2024-12-10,ShopB,RO,17.67,,,,,,,,,,,,,,,,,,,,,,
PAY-00068,2024-12-10,ShopB,RO,39.91,,,,,,,,,,,,,,,,,,,,,,
PAY-00069,2024-12-10,ShopB,Hydrogen,22.83,,,,,,,,,,,,,,,,,,,,,,
PAY-00070,2024-12-10,ShopC,Alkaline,26.96,,,,,,,,,,,,,,,,,,,,,,
PAY-00071,2024-12-10,ShopC,RO,19.78,,,,,,,,,,,,,,,,,,,,,,
PAY-00072,2024-12-10,ShopC,RO,7.22,,,,,,,,,,,,,,,,,,,,,,
PAY-00073,2024-12-10,ShopC,RO,18.36,,,,,,,,,,,,,,,,,,,,,,
PAY-00074,2024-12-10,ShopC,RO,39.86,,,,,,,,,,,,,,,,,,,,,,
PAY-00075,2024-12-10,ShopC,RO,23.52,,,,,,,,,,,,,,,,,,,,,,
PAY-00076,2024-12-10,ShopC,Hydrogen,35.13,,,,,,,,,,,,,,,,,,,,,,
PAY-00077,2024-12-10,ShopC,Hydrogen,5.4,,,,,,,,,,,,,,,,,,,,,,
PAY-00078,2024-12-10,ShopC,Hydrogen,30.23,,,,,,,,,,,,,,,,,,,,,,
PAY-00079,2024-12-10,ShopC,Hydrogen,28.86,,,,,,,,,,,,,,,,,,,,,,
PAY-00080,2024-12-10,ShopC,Ice,31.28,,,,,,,,,,,,,,,,,,,,,,
PAY-00081,2024-12-10,ShopC,Ice,31.9,,,,,,,,,,,,,,,,,,,,,,
PAY-00082,2024-12-10,ShopC,Ice,16.91,,,,,,,,,,,,,,,,,,,,,,
PAY-00083,2024-12-10,ShopC,Ice,15.27,,,,,,,,,,,,,,,,,,,,,,
PAY-00084,2024-12-10,ShopC,UV,20.88,,,,,,,,,,,,,,,,,,,,,,
PAY-00085,2024-12-10,ShopC,Mineral,35.65,,,,,,,,,,,,,,,,,,,,,,
PAY-00086,2024-12-10,ShopC,Mineral,14.22,,,,,,,,,,,,,,,,,,,,,,
PAY-00087,2024-12-10,ShopC,Mineral,22.52,,,,,,,,,,,,,,,,,,,,,,
PAY-00088,2024-12-10,ShopC,Mineral,11.25,,,,,,,,,,,,,,,,,,,,,,
PAY-00089,2024-12-10,ShopC,Mineral,36.94,,,,,,,,,,,,,,,,,,,,,,
PAY-00090,2024-12-11,ShopA,Alkaline,15.45,,,,,,,,,,,,,,,,,,,,,,
PAY-00091,2024-12-11,ShopA,Alkaline,27.36,,,,,,,,,,,,,,,,,,,,,,
PAY-00092,2024-12-11,ShopA,Alkaline,26.31,,,,,,,,,,,,,,,,,,,,,,
PAY-00093,2024-12-11,ShopA,Alkaline,10.35,,,,,,,,,,,,,,,,,,,,,,
PAY-00094,2024-12-11,ShopA,Alkaline,31.69,,,,,,,,,,,,,,,,,,,,,,
PAY-00095,2024-12-11,ShopA,RO,38.37,,,,,,,,,,,,,,,,,,,,,,
PAY-00096,2024-12-11,ShopA,RO,37.29,,,,,,,,,,,,,,,,,,,,,,
PAY-00097,2024-12-11,ShopA,RO,37.15,,,,,,,,,,,,,,,,,,,,,,
PAY-00098,2024-12-11,ShopA,RO,25.96,,,,,,,,,,,,,,,,,,,,,,
PAY-00099,2024-12-11,ShopA,Hydrogen,5.68,,,,,,,,,,,,,,,,,,,,,,
PAY-00100,2024-12-11,ShopA,Hydrogen,37.52,,,,,,,,,,,,,,,,,,,,,,
PAY-00101,2024-12-11,ShopA,Hydrogen,35.76,,,,,,,,,,,,,,,,,,,,,,
PAY-00102,2024-12-11,ShopA,Ice,13.38,,,,,,,,,,,,,,,,,,,,,,
PAY-00103,2024-12-11,ShopA,Ice,13.43,,,,,,,,,,,,,,,,,,,,,,
PAY-00104,2024-12-11,ShopA,UV,38.14,,,,,,,,,,,,,,,,,,,,,,
PAY-00105,2024-12-11,ShopA,UV,8.0,,,,,,,,,,,,,,,,,,,,,,
PAY-00106,2024-12-11,ShopA,UV,22.01,,,,,,,,,,,,,,,,,,,,,,
PAY-00107,2024-12-11,ShopA,UV,7.42,,,,,,,,,,,,,,,,,,,,,,
PAY-00108,2024-12-11,ShopA,Mineral,31.8,,,,,,,,,,,,,,,,,,,,,,
PAY-00109,2024-12-11,ShopA,Mineral,9.49,,,,,,,,,,,,,,,,,,,,,,
PAY-00110,2024-12-11,ShopA,Mineral,21.63,,,,,,,,,,,,,,,,,,,,,,
PAY-00111,2024-12-11,ShopA,Mineral,24.24,,,,,,,,,,,,,,,,,,,,,,
PAY-00112,2024-12-11,ShopB,Alkaline,23.47,,,,,,,,,,,,,,,,,,,,,,
PAY-00113,2024-12-11,ShopB,Alkaline,26.23,,,,,,,,,,,,,,,,,,,,,,
PAY-00114,2024-12-11,ShopB,RO,37.51,,,,,,,,,,,,,,,,,,,,,,
PAY-00115,2024-12-11,ShopB,Hydrogen,29.15,,,,,,,,,,,,,,,,,,,,,,
PAY-00116,2024-12-11,ShopB,Hydrogen,29.95,,,,,,,,,,,,,,,,,,,,,,
PAY-00117,2024-12-11,ShopB,Hydrogen,18.96,,,,,,,,,,,,,,,,,,,,,,
PAY-00118,2024-12-11,ShopB,Hydrogen,28.51,,,,,,,,,,,,,,,,,,,,,,
PAY-00119,2024-12-11,ShopB,Hydrogen,18.07,,,,,,,,,,,,,,,,,,,,,,
PAY-00120,2024-12-11,ShopB,Ice,20.8,,,,,,,,,,,,,,,,,,,,,,
PAY-00121,2024-12-11,ShopB,Ice,13.68,,,,,,,,,,,,,,,,,,,,,,
PAY-00122,2024-12-11,ShopB,Ice,7.24,,,,,,,,,,,,,,,,,,,,,,
PAY-00123,2024-12-11,ShopB,Ice,5.74,,,,,,,,,,,,,,,,,,,,,,
PAY-00124,2024-12-11,ShopB,UV,13.05,,,,,,,,,,,,,,,,,,,,,,
PAY-00125,2024-12-11,ShopB,UV,12.71,,,,,,,,,,,,,,,,,,,,,,
PAY-00126,2024-12-11,ShopB,UV,7.48,,,,,,,,,,,,,,,,,,,,,,
PAY-00127,2024-12-11,ShopB,UV,27.09,,,,,,,,,,,,,,,,,,,,,,
PAY-00128,2024-12-11,ShopB,Mineral,7.36,,,,,,,,,,,,,,,,,,,,,,
PAY-00129,2024-12-11,ShopC,RO,7.48,,,,,,,,,,,,,,,,,,,,,,
PAY-00130,2024-12-11,ShopC,RO,13.33,,,,,,,,,,,,,,,,,,,,,,
PAY-00131,2024-12-11,ShopC,Hydrogen,21.99,,,,,,,,,,,,,,,,,,,,,,
PAY-00132,2024-12-11,ShopC,Hydrogen,23.87,,,,,,,,,,,,,,,,,,,,,,
PAY-00133,2024-12-11,ShopC,Hydrogen,30.32,,,,,,,,,,,,,,,,,,,,,,
PAY-00134,2024-12-11,ShopC,Hydrogen,35.88,,,,,,,,,,,,,,,,,,,,,,
PAY-00135,2024-12-11,ShopC,Hydrogen,25.17,,,,,,,,,,,,,,,,,,,,,,
PAY-00136,2024-12-11,ShopC,Ice,32.46,,,,,,,,,,,,,,,,,,,,,,
PAY-00137,2024-12-11,ShopC,UV,11.66,,,,,,,,,,,,,,,,,,,,,,
PAY-00138,2024-12-11,ShopC,UV,8.39,,,,,,,,,,,,,,,,,,,,,,
PAY-00139,2024-12-11,ShopC,UV,20.09,,,,,,,,,,,,,,,,,,,,,,
PAY-00140,2024-12-11,ShopC,Mineral,19.39,,,,,,,,,,,,,,,,,,,,,,
PAY-00141,2024-12-11,ShopC,Mineral,35.23,,,,,,,,,,,,,,,,,,,,,,
PAY-00142,2024-12-11,ShopC,Mineral,6.9,,,,,,,,,,,,,,,,,,,,,,
PAY-00143,2024-12-12,ShopA,Alkaline,39.45,,,,,,,,,,,,,,,,,,,,,,
PAY-00144,2024-12-12,ShopA,Alkaline,8.44,,,,,,,,,,,,,,,,,,,,,,
PAY-00145,2024-12-12,ShopA,Alkaline,19.09,,,,,,,,,,,,,,,,,,,,,,
PAY-00146,2024-12-12,ShopA,Alkaline,16.88,,,,,,,,,,,,,,,,,,,,,,
PAY-00147,2024-12-12,ShopA,Alkaline,35.16,,,,,,,,,,,,,,,,,,,,,,
PAY-00148,2024-12-12,ShopA,RO,11.71,,,,,,,,,,,,,,,,,,,,,,
PAY-00149,2024-12-12,ShopA,Hydrogen,20.7,,,,,,,,,,,,,,,,,,,,,,
PAY-00150,2024-12-12,ShopA,Hydrogen,19.77,,,,,,,,,,,,,,,,,,,,,,
PAY-00151,2024-12-12,ShopA,Hydrogen,14.75,,,,,,,,,,,,,,,,,,,,,,
PAY-00152,2024-12-12,ShopA,Hydrogen,13.74,,,,,,,,,,,,,,,,,,,,,,
PAY-00153,2024-12-12,ShopA,UV,33.28,,,,,,,,,,,,,,,,,,,,,,
PAY-00154,2024-12-12,ShopA,UV,34.96,,,,,,,,,,,,,,,,,,,,,,
PAY-00155,2024-12-12,ShopA,UV,8.43,,,,,,,,,,,,,,,,,,,,,,
PAY-00156,2024-12-12,ShopA,Mineral,39.97,,,,,,,,,,,,,,,,,,,,,,
PAY-00157,2024-12-12,ShopA,Mineral,34.26,,,,,,,,,,,,,,,,,,,,,,
PAY-00158,2024-12-12,ShopA,Mineral,38.91,,,,,,,,,,,,,,,,,,,,,,
PAY-00159,2024-12-12,ShopA,Mineral,37.42,,,,,,,,,,,,,,,,,,,,,,
PAY-00160,2024-12-12,ShopA,Mineral,34.7,,,,,,,,,,,,,,,,,,,,,,
PAY-00161,2024-12-12,ShopB,Alkaline,19.22,,,,,,,,,,,,,,,,,,,,,,
PAY-00162,2024-12-12,ShopB,RO,12.48,,,,,,,,,,,,,,,,,,,,,,
PAY-00163,2024-12-12,ShopB,RO,19.04,,,,,,,,,,,,,,,,,,,,,,
PAY-00164,2024-12-12,ShopB,RO,7.05,,,,,,,,,,,,,,,,,,,,,,
PAY-00165,2024-12-12,ShopB,Hydrogen,5.08,,,,,,,,,,,,,,,,,,,,,,
PAY-00166,2024-12-12,ShopB,Hydrogen,18.66,,,,,,,,,,,,,,,,,,,,,,
PAY-00167,2024-12-12,ShopB,Hydrogen,37.43,,,,,,,,,,,,,,,,,,,,,,
PAY-00168,2024-12-12,ShopB,Ice,14.98,,,,,,,,,,,,,,,,,,,,,,
PAY-00169,2024-12-12,ShopB,Ice,29.38,,,,,,,,,,,,,,,,,,,,,,
PAY-00170,2024-12-12,ShopB,Ice,30.57,,,,,,,,,,,,,,,,,,,,,,
PAY-00171,2024-12-12,ShopB,UV,28.17,,,,,,,,,,,,,,,,,,,,,,
PAY-00172,2024-12-12,ShopB,UV,22.03,,,,,,,,,,,,,,,,,,,,,,
PAY-00173,2024-12-12,ShopB,UV,11.65,,,,,,,,,,,,,,,,,,,,,,
PAY-00174,2024-12-12,ShopB,UV,12.62,,,,,,,,,,,,,,,,,,,,,,
PAY-00175,2024-12-12,ShopC,Alkaline,30.75,,,,,,,,,,,,,,,,,,,,,,
PAY-00176,2024-12-12,ShopC,Alkaline,7.13,,,,,,,,,,,,,,,,,,,,,,
PAY-00177,2024-12-12,ShopC,Alkaline,15.98,,,,,,,,,,,,,,,,,,,,,,
PAY-00178,2024-12-12,ShopC,Alkaline,6.75,,,,,,,,,,,,,,,,,,,,,,
PAY-00179,2024-12-12,ShopC,RO,22.6,,,,,,,,,,,,,,,,,,,,,,
PAY-00180,2024-12-12,ShopC,RO,34.85,,,,,,,,,,,,,,,,,,,,,,
PAY-00181,2024-12-12,ShopC,RO,10.51,,,,,,,,,,,,,,,,,,,,,,
PAY-00182,2024-12-12,ShopC,Hydrogen,7.8,,,,,,,,,,,,,,,,,,,,,,
PAY-00183,2024-12-12,ShopC,Hydrogen,11.5,,,,,,,,,,,,,,,,,,,,,,
PAY-00184,2024-12-12,ShopC,Hydrogen,25.83,,,,,,,,,,,,,,,,,,,,,,
PAY-00185,2024-12-12,ShopC,Hydrogen,28.63,,,,,,,,,,,,,,,,,,,,,,
PAY-00186,2024-12-12,ShopC,Ice,19.13,,,,,,,,,,,,,,,,,,,,,,
PAY-00187,2024-12-12,ShopC,UV,13.62,,,,,,,,,,,,,,,,,,,,,,
PAY-00188,2024-12-12,ShopC,UV,25.81,,,,,,,,,,,,,,,,,,,,,,
PAY-00189,2024-12-12,ShopC,UV,26.68,,,,,,,,,,,,,,,,,,,,,,
PAY-00190,2024-12-12,ShopC,UV,19.67,,,,,,,,,,,,,,,,,,,,,,
PAY-00191,2024-12-12,ShopC,Mineral,24.78,,,,,,,,,,,,,,,,,,,,,,
PAY-00192,2024-12-12,ShopC,Mineral,16.07,,,,,,,,,,,,,,,,,,,,,,
PAY-00193,2024-12-12,ShopC,Mineral,14.13,,,,,,,,,,,,,,,,,,,,,,
PAY-00194,2024-12-12,ShopC,Mineral,28.44,,,,,,,,,,,,,,,,,,,,,,
PAY-00195,2024-12-13,ShopA,Alkaline,13.35,,,,,,,,,,,,,,,,,,,,,,
PAY-00196,2024-12-13,ShopA,Alkaline,18.85,,,,,,,,,,,,,,,,,,,,,,
PAY-00197,2024-12-13,ShopA,RO,27.59,,,,,,,,,,,,,,,,,,,,,,
PAY-00198,2024-12-13,ShopA,RO,21.0,,,,,,,,,,,,,,,,,,,,,,
PAY-00199,2024-12-13,ShopA,RO,37.52,,,,,,,,,,,,,,,,,,,,,,
PAY-00200,2024-12-13,ShopA,RO,37.75,,,,,,,,,,,,,,,,,,,,,,
PAY-00201,2024-12-13,ShopA,RO,5.33,,,,,,,,,,,,,,,,,,,,,,
PAY-00202,2024-12-13,ShopA,Hydrogen,39.95,,,,,,,,,,,,,,,,,,,,,,
PAY-00203,2024-12-13,ShopA,Hydrogen,39.86,,,,,,,,,,,,,,,,,,,,,,
PAY-00204,2024-12-13,ShopA,Hydrogen,7.56,,,,,,,,,,,,,,,,,,,,,,
PAY-00205,2024-12-13,ShopA,Hydrogen,12.46,,,,,,,,,,,,,,,,,,,,,,
PAY-00206,2024-12-13,ShopA,Ice,9.64,,,,,,,,,,,,,,,,,,,,,,
PAY-00207,2024-12-13,ShopA,Ice,17.22,,,,,,,,,,,,,,,,,,,,,,
PAY-00208,2024-12-13,ShopA,Mineral,17.93,,,,,,,,,,,,,,,,,,,,,,
PAY-00209,2024-12-13,ShopB,Alkaline,20.34,,,,,,,,,,,,,,,,,,,,,,
PAY-00210,2024-12-13,ShopB,RO,29.62,,,,,,,,,,,,,,,,,,,,,,
PAY-00211,2024-12-13,ShopB,RO,26.41,,,,,,,,,,,,,,,,,,,,,,
PAY-00212,2024-12-13,ShopB,RO,39.55,,,,,,,,,,,,,,,,,,,,,,
PAY-00213,2024-12-13,ShopB,RO,27.89,,,,,,,,,,,,,,,,,,,,,,
PAY-00214,2024-12-13,ShopB,Ice,33.6,,,,,,,,,,,,,,,,,,,,,,
PAY-00215,2024-12-13,ShopB,Ice,15.48,,,,,,,,,,,,,,,,,,,,,,
PAY-00216,2024-12-13,ShopB,Ice,28.22,,,,,,,,,,,,,,,,,,,,,,
PAY-00217,2024-12-13,ShopB,Ice,37.86,,,,,,,,,,,,,,,,,,,,,,
PAY-00218,2024-12-13,ShopB,Ice,9.7,,,,,,,,,,,,,,,,,,,,,,
PAY-00219,2024-12-13,ShopC,Alkaline,24.36,,,,,,,,,,,,,,,,,,,,,,
PAY-00220,2024-12-13,ShopC,Alkaline,14.53,,,,,,,,,,,,,,,,,,,,,,
PAY-00221,2024-12-13,ShopC,Alkaline,26.17,,,,,,,,,,,,,,,,,,,,,,
PAY-00222,2024-12-13,ShopC,Alkaline,30.12,,,,,,,,,,,,,,,,,,,,,,
PAY-00223,2024-12-13,ShopC,Alkaline,12.13,,,,,,,,,,,,,,,,,,,,,,
PAY-00224,2024-12-13,ShopC,RO,34.85,,,,,,,,,,,,,,,,,,,,,,
PAY-00225,2024-12-13,ShopC,RO,22.69,,,,,,,,,,,,,,,,,,,,,,
PAY-00226,2024-12-13,ShopC,RO,13.79,,,,,,,,,,,,,,,,,,,,,,
PAY-00227,2024-12-13,ShopC,RO,36.79,,,,,,,,,,,,,,,,,,,,,,
PAY-00228,2024-12-13,ShopC,RO,6.78,,,,,,,,,,,,,,,,,,,,,,
PAY-00229,2024-12-13,ShopC,Hydrogen,19.83,,,,,,,,,,,,,,,,,,,,,,
PAY-00230,2024-12-13,ShopC,Hydrogen,14.68,,,,,,,,,,,,,,,,,,,,,,
PAY-00231,2024-12-13,ShopC,Hydrogen,5.12,,,,,,,,,,,,,,,,,,,,,,
PAY-00232,2024-12-13,ShopC,Hydrogen,31.99,,,,,,,,,,,,,,,,,,,,,,
PAY-00233,2024-12-13,ShopC,Hydrogen,27.3,,,,,,,,,,,,,,,,,,,,,,
PAY-00234,2024-12-13,ShopC,Ice,10.66,,,,,,,,,,,,,,,,,,,,,,
PAY-00235,2024-12-13,ShopC,Ice,20.46,,,,,,,,,,,,,,,,,,,,,,
PAY-00236,2024-12-13,ShopC,UV,19.97,,,,,,,,,,,,,,,,,,,,,,
PAY-00237,2024-12-13,ShopC,UV,5.34,,,,,,,,,,,,,,,,,,,,,,
PAY-00238,2024-12-13,ShopC,UV,7.63,,,,,,,,,,,,,,,,,,,,,,
PAY-00239,2024-12-13,ShopC,UV,35.91,,,,,,,,,,,,,,,,,,,,,,
PAY-00240,2024-12-13,ShopC,UV,36.64,,,,,,,,,,,,,,,,,,,,,,
PAY-00241,2024-12-13,ShopC,Mineral,6.26,,,,,,,,,,,,,,,,,,,,,,
PAY-00242,2024-12-13,ShopC,Mineral,17.92,,,,,,,,,,,,,,,,,,,,,,
PAY-00243,2024-12-13,ShopC,Mineral,24.34,,,,,,,,,,,,,,,,,,,,,,
PAY-00244,2024-12-13,ShopC,Mineral,20.04,,,,,,,,,,,,,,,,,,,,,,
PAY-00245,2024-12-14,ShopA,RO,17.76,,,,,,,,,,,,,,,,,,,,,,
PAY-00246,2024-12-14,ShopA,RO,37.66,,,,,,,,,,,,,,,,,,,,,,
PAY-00247,2024-12-14,ShopA,Ice,12.35,,,,,,,,,,,,,,,,,,,,,,
PAY-00248,2024-12-14,ShopA,Ice,13.73,,,,,,,,,,,,,,,,,,,,,,
PAY-00249,2024-12-14,ShopA,Mineral,32.3,,,,,,,,,,,,,,,,,,,,,,
PAY-00250,2024-12-14,ShopA,Mineral,35.94,,,,,,,,,,,,,,,,,,,,,,
PAY-00251,2024-12-14,ShopB,Alkaline,39.08,,,,,,,,,,,,,,,,,,,,,,
PAY-00252,2024-12-14,ShopB,Alkaline,31.23,,,,,,,,,,,,,,,,,,,,,,
PAY-00253,2024-12-14,ShopB,Alkaline,37.4,,,,,,,,,,,,,,,,,,,,,,
PAY-00254,2024-12-14,ShopB,RO,35.26,,,,,,,,,,,,,,,,,,,,,,
PAY-00255,2024-12-14,ShopB,Hydrogen,35.85,,,,,,,,,,,,,,,,,,,,,,
PAY-00256,2024-12-14,ShopB,UV,30.78,,,,,,,,,,,,,,,,,,,,,,
PAY-00257,2024-12-14,ShopB,Mineral,32.38,,,,,,,,,,,,,,,,,,,,,,
PAY-00258,2024-12-14,ShopB,Mineral,19.41,,,,,,,,,,,,,,,,,,,,,,
PAY-00259,2024-12-14,ShopC,Alkaline,35.24,,,,,,,,,,,,,,,,,,,,,,
PAY-00260,2024-12-14,ShopC,Alkaline,33.38,,,,,,,,,,,,,,,,,,,,,,
PAY-00261,2024-12-14,ShopC,Alkaline,14.34,,,,,,,,,,,,,,,,,,,,,,
PAY-00262,2024-12-14,ShopC,Alkaline,32.56,,,,,,,,,,,,,,,,,,,,,,
PAY-00263,2024-12-14,ShopC,Alkaline,8.78,,,,,,,,,,,,,,,,,,,,,,
PAY-00264,2024-12-14,ShopC,Hydrogen,12.79,,,,,,,,,,,,,,,,,,,,,,
PAY-00265,2024-12-14,ShopC,Hydrogen,33.58,,,,,,,,,,,,,,,,,,,,,,
PAY-00266,2024-12-14,ShopC,Hydrogen,21.11,,,,,,,,,,,,,,,,,,,,,,
PAY-00267,2024-12-14,ShopC,Ice,33.72,,,,,,,,,,,,,,,,,,,,,,
PAY-00268,2024-12-14,ShopC,Ice,35.5,,,,,,,,,,,,,,,,,,,,,,
PAY-00269,2024-12-14,ShopC,UV,5.83,,,,,,,,,,,,,,,,,,,,,,
PAY-00270,2024-12-14,ShopC,Mineral,18.95,,,,,,,,,,,,,,,,,,,,,,
PAY-00271,2024-12-15,ShopA,Alkaline,35.25,,,,,,,,,,,,,,,,,,,,,,
